StartDate	EndDate	Subject	Experiment	Group	Box	StartTime	StartDateTime	EndTime	MSN	Genotype	Day	Animal
2023-03-01	2023-03-01	4_EN#33-1012	20230301	4	4	10:52:15	2023-03-01 10:52:15	12:22:20	CRFv2023	WT	Day1	EN#33
2023-03-01	2023-03-01	4_EN#31-1012	20230301	4	1	11:17:07	2023-03-01 11:17:07	12:47:12	CRFv2023	WT	Day1	EN#31
2023-03-01	2023-03-01	5_EN#45-1126	20230301	5	1	12:50:28	2023-03-01 12:50:28	14:20:38	CRFv2023	WT	Day1	EN#45
2022-05-14	2022-05-14	EN#98_0115	20220514	8	3	13:25:43	2022-05-14 13:25:43	14:53:26	CRF	WT	Day2	EN#98
2022-05-14	2022-05-14	EN#29_1025	20220514	8	1	13:29:37	2022-05-14 13:29:37	14:12:02	CRF	WT	Day2	EN#29
2022-05-14	2022-05-14	EN#25_1220	20220514	9	2	14:46:55	2022-05-14 14:46:55	15:31:11	CRF	WT	Day2	EN#25
2022-05-14	2022-05-14	EN#49_1224	20220514	10	3	15:43:35	2022-05-14 15:43:35	17:13:39	CRF	WT	Day2	EN#49
2022-11-04	2022-11-04	1_EN#69-0630	20221104	1	1	06:09:06	2022-11-04 06:09:06	07:27:44	CRF	WT	Day2	EN#69
2022-11-04	2022-11-04	1_EN#70-0630	20221104	1	4	06:09:27	2022-11-04 06:09:27	07:18:50	CRF	WT	Day2	EN#70
2022-11-04	2022-11-04	2_EN#82-0824	20221104	2	4	07:22:39	2022-11-04 07:22:39	08:56:28	CRF	WT	Day2	EN#82
2022-11-04	2022-11-04	2_EN#48-0710	20221104	2	1	07:32:42	2022-11-04 07:32:42	08:52:12	CRF	WT	Day2	EN#48
2022-11-04	2022-11-04	3_EN#47-0710	20221104	3	2	07:53:49	2022-11-04 07:53:49	09:08:53	CRF	WT	Day2	EN#47
2022-11-04	2022-11-04	3_EN#52-0710	20221104	3	3	08:40:08	2022-11-04 08:40:08	10:12:15	CRF	WT	Day2	EN#52
2022-11-04	2022-11-04	4_EN#70-0816	20221104	4	3	10:16:47	2022-11-04 10:16:47	11:14:52	CRF	WT	Day2	EN#70
2022-11-04	2022-11-04	4_EN#47-0802	20221104	4	1	10:34:21	2022-11-04 10:34:21	12:07:44	CRF	WT	Day2	EN#47
2022-11-04	2022-11-04	5_EN#68-0816	20221104	5	4	11:43:10	2022-11-04 11:43:10	12:28:04	CRF	WT	Day2	EN#68
2022-11-04	2022-11-04	5_EN#49-0802	20221104	5	1	12:13:03	2022-11-04 12:13:03	13:46:31	CRF	WT	Day2	EN#49
2022-11-04	2022-11-04	6_EN#60-0823	20221104	6	2	12:37:33	2022-11-04 12:37:33	13:00:50	CRF	WT	Day2	EN#60
2022-11-04	2022-11-04	6_EN#61-0823	20221104	6	3	13:06:51	2022-11-04 13:06:51	14:40:01	CRF	WT	Day2	EN#61
2022-11-04	2022-11-04	7_EN#88-0902	20221104	7	2	13:56:48	2022-11-04 13:56:48	15:32:12	CRF	WT	Day2	EN#88
2022-11-04	2022-11-04	7_EN#90-0902	20221104	7	4	13:57:02	2022-11-04 13:57:02	15:32:19	CRF	WT	Day2	EN#90
2023-03-02	2023-03-02	1_EN#28-1012	20230302	1	2	06:13:06	2023-03-02 06:13:06	07:42:47	CRFv2023	WT	Day2	EN#28
2023-03-02	2023-03-02	1_EN#30-1012	20230302	1	4	06:13:17	2023-03-02 06:13:17	06:57:51	CRFv2023	WT	Day2	EN#30
2023-03-02	2023-03-02	2_EN#52-1125	20230302	2	4	06:59:28	2023-03-02 06:59:28	07:47:20	CRFv2023	WT	Day2	EN#52
2023-03-02	2023-03-02	2_EN#50-1125	20230302	2	2	07:44:37	2023-03-02 07:44:37	09:16:12	CRFv2023	WT	Day2	EN#50
2023-03-02	2023-03-02	4_EN#33-1012	20230302	4	4	09:07:02	2023-03-02 09:07:02	10:38:21	CRFv2023	WT	Day2	EN#33
2023-03-02	2023-03-02	4_EN#44-1126	20230302	4	3	09:32:55	2023-03-02 09:32:55	10:17:09	CRFv2023	WT	Day2	EN#44
2023-03-02	2023-03-02	4_EN#31-1012	20230302	4	1	10:18:31	2023-03-02 10:18:31	11:50:55	CRFv2023	WT	Day2	EN#31
2023-03-02	2023-03-02	5_EN#45-1126	20230302	5	1	11:52:10	2023-03-02 11:52:10	13:20:46	CRFv2023	WT	Day2	EN#45
2022-05-15	2022-05-15	EN#29_1025	20220515	8	1	13:31:04	2022-05-15 13:31:04	14:08:38	CRF	WT	Day3	EN#29
2022-05-15	2022-05-15	EN#98_0115	20220515	8	3	13:46:39	2022-05-15 13:46:39	14:42:56	CRF	WT	Day3	EN#98
2022-05-15	2022-05-15	EN#25_1220	20220515	9	2	14:42:01	2022-05-15 14:42:01	15:07:08	CRF	WT	Day3	EN#25
2022-05-15	2022-05-15	EN#49_1224	20220515	10	3	15:40:52	2022-05-15 15:40:52	16:24:14	CRF	WT	Day3	EN#49
